PARCELID,Type
15358433303060000,UMT Property
15335106101010000,UMT Property
01119714220080000,UMT Property
01119714310250000,UMT Property
01119714226270000,UMT Property
01119714226260000,UMT Property
01119714226250000,UMT Property
01119714226240000,UMT Property
01119714226210000,UMT Property
01119714226200000,UMT Property
01119714225010000,UMT Property
01119714201500000,UMT Property
01119714235260000,UMT Property
01119714235220000,UMT Property
01119714235190000,UMT Property
01119714236160000,UMT Property
01119714235110000,UMT Property
01119714235130000,UMT Property
01119714235150000,UMT Property
01119714225080000,UMT Property
01119714226290000,UMT Property
01119714226280000,UMT Property
01119714226010000,UMT Property
01119714226040000,UMT Property
01119714226060000,UMT Property
01119714226070000,UMT Property
01119714226080000,UMT Property
01119714226100000,UMT Property
01119714225130000,UMT Property
01119714225110000,UMT Property
01119714114570000,UMT Property
01119714114160000,UMT Property
01119714114160000,UMT Property
01119714114160000,UMT Property
01119714104300000,UMT Property
01119714310100000,UMT Property
01119714114160000,UMT Property
01119714310250000,UMT Property
18032619303040000,UMT Property
18032524405010000,UMT Property
18032524405020000,UMT Property
18032619301080000,UMT Property
18032619301050000,UMT Property
18032619301200000,UMT Property
05188829205150000,UMT Property
05188829202350000,UMT Property
05188829205030000,UMT Property
05188829205070000,UMT Property
04220402101010000,UMT Property
04220403101010000,UMT Property
04220404101020000,UMT Property
04220405101010000,UMT Property
04233036101110000,UMT Property
04233035101010000,UMT Property
04233034101010000,UMT Property
04233033101010000,UMT Property
04233032101010000,UMT Property
04233031101010000,UMT Property
04233027101050000,UMT Property
04233028201010000,UMT Property
04233029101010000,UMT Property
04233030101010000,UMT Property
04233021101030000,UMT Property
04233019101030000,UMT Property
04233020101070000,UMT Property
04220034101010000,UMT Property
04220415101010000,UMT Property
04220423101010000,UMT Property
04220027103010000,UMT Property
04220027103050000,UMT Property
04220027212030000,UMT Property
04220026301010000,UMT Property
04220027244060000,UMT Property
04220027244070000,UMT Property
04220027103410000,UMT Property
04220027244050000,UMT Property
04220027244040000,UMT Property
04220027244020000,UMT Property
04220027244010000,UMT Property
04220027103090000,UMT Property
04220027103100000,UMT Property
04220027238010000,UMT Property
04220022401050000,UMT Property
04220027212020000,UMT Property
04220027103030000,UMT Property
04220027104080000,UMT Property
04220022402010000,UMT Property
04220022405010000,UMT Property
04220531101010000,UMT Property
04220527201040000,UMT Property
04220526101010000,UMT Property
04220526201020000,UMT Property
04220527101010000,UMT Property
04220528101010000,UMT Property
04220529101010000,UMT Property
04220530101010000,UMT Property
04219936101040000,UMT Property
04220034201010000,UMT Property
04219936201090000,UMT Property
04220524101030000,UMT Property
04220523101010000,UMT Property
04219936101070000,UMT Property
04220522101010000,UMT Property
04220521101010000,UMT Property
04220521101020000,UMT Property
04220520101010000,UMT Property
04220027103400000,UMT Property
04220519101010000,UMT Property
04220027213020000,UMT Property
04220022306100000,UMT Property
04220022306040000,UMT Property
04220022306050000,UMT Property
04220022306080000,UMT Property
04220022306090000,UMT Property
04220022306110000,UMT Property
04220022306120000,UMT Property
04220022312100000,UMT Property
04220022312090000,UMT Property
04220022312080000,UMT Property
04220022312070000,UMT Property
04220022312060000,UMT Property
04220022312050000,UMT Property
04220022312040000,UMT Property
04220022312030000,UMT Property
04220022312020000,UMT Property
04220022312010000,UMT Property
04220022312110000,UMT Property
04220022312120000,UMT Property
04220022312140000,UMT Property
04220022312150000,UMT Property
04220022312160000,UMT Property
04220022312170000,UMT Property
04220022312180000,UMT Property
04220022312190000,UMT Property
04220513101010000,UMT Property
04220023301010000,UMT Property
04220515101010000,UMT Property
04220517101010000,UMT Property
04220518101020000,UMT Property
04220413101010000,UMT Property
04220512101020000,UMT Property
04220511101020000,UMT Property
04220412101020000,UMT Property
04220509101010000,UMT Property
04220508201010000,UMT Property
04220507101010000,UMT Property
04220412101010000,UMT Property
04220411101010000,UMT Property
04220409101010000,UMT Property
04220501101010000,UMT Property
04220027212010000,UMT Property
04220027103420000,UMT Property
04220027103430000,UMT Property
28254227303010000,UMT Property
04220022316020000,Adjacent Public Property
04220022316010000,Adjacent Public Property
04220034101040000,Adjacent Public Property
04220022405030000,Adjacent Public Property
04220026203010000,Adjacent Public Property
